#{"t_start": 1733820542.3186839, "env_id": "None"}
r,l,t
2.0,3,0.343256
2.0,3,0.343315
3.0,4,0.343665
5.0,6,0.344304
6.0,7,0.345288
3.0,4,0.345653
8.0,9,0.346017
9.0,10,0.34636
10.0,11,0.347111
3.0,4,0.347126
8.0,9,0.347485
6.0,7,0.347844
4.0,5,0.347853
10.0,11,0.371772
4.0,5,0.371808
2.0,3,0.371817
3.0,4,0.371824
3.0,4,0.417328
2.0,3,0.437388
3.0,4,0.513514
3.0,4,0.513597
6.0,7,0.513625
6.0,7,0.565022
2.0,3,0.584644
6.0,7,0.584719
3.0,4,0.605285
6.0,7,0.622896
9.0,10,0.622945
3.0,4,0.639594
7.0,8,0.65536
2.0,3,0.655398
6.0,7,0.666995
11.0,12,0.6728
8.0,9,0.682316
5.0,6,0.686543
8.0,9,0.686577
11.0,12,0.690943
9.0,10,0.694781
2.0,3,0.698726
7.0,8,0.702642
4.0,5,0.707087
3.0,4,0.711013
5.0,6,0.714834
2.0,3,0.714857
10.0,11,0.71955
8.0,9,0.719578
13.0,14,0.719585
3.0,4,0.727273
2.0,3,0.731769
3.0,4,0.735469
6.0,7,0.73549
4.0,5,0.735497
5.0,6,0.739613
3.0,4,0.743357
2.0,3,0.747148
11.0,12,0.747167
3.0,4,0.751403
5.0,6,0.758937
3.0,4,0.758963
3.0,4,0.762599
3.0,4,0.767068
11.0,12,0.76709
2.0,3,0.774543
7.0,8,0.778311
5.0,6,0.782492
12.0,13,0.782508
5.0,6,0.782514
12.0,13,0.789903
3.0,4,0.799358
7.0,8,0.799397
2.0,3,0.803755
5.0,6,0.808252
7.0,8,0.817248
2.0,3,0.81728
10.0,11,0.826693
4.0,5,0.840252
9.0,10,0.853611
19.0,20,0.853651
12.0,13,0.858122
19.0,20,0.862873
4.0,5,0.862909
10.0,11,0.868564
2.0,3,0.868593
3.0,4,0.881694
17.0,18,0.881736
4.0,5,0.881744
7.0,8,0.891497
13.0,14,0.891533
4.0,5,0.89154
2.0,3,0.896705
6.0,7,0.900732
7.0,8,0.900766
4.0,5,0.905269
4.0,5,0.905297
3.0,4,0.909058
2.0,3,0.909076
2.0,3,0.91347
4.0,5,0.913498
2.0,3,0.917191
3.0,4,0.921084
4.0,5,0.921104
2.0,3,0.925469
8.0,9,0.92922
2.0,3,0.929244
2.0,3,0.93347
4.0,5,0.940875
4.0,5,0.944767
7.0,8,0.944796
3.0,4,0.949108
5.0,6,0.952876
2.0,3,0.960679
13.0,14,0.964881
4.0,5,0.964904
5.0,6,0.96946
7.0,8,0.97336
15.0,16,0.973383
2.0,3,0.973391
3.0,4,0.988509
8.0,9,0.988539
6.0,7,0.992232
4.0,5,0.992252
6.0,7,0.992259
5.0,6,0.992265
5.0,6,0.997207
3.0,4,1.009676
20.0,21,1.01414
4.0,5,1.014175
4.0,5,1.018809
6.0,7,1.024022
7.0,8,1.024057
8.0,9,1.032749
3.0,4,1.032784
4.0,5,1.037703
3.0,4,1.041791
5.0,6,1.04598
5.0,6,1.050629
3.0,4,1.050671
15.0,16,1.060168
3.0,4,1.064952
7.0,8,1.069491
8.0,9,1.078671
6.0,7,1.082926
16.0,17,1.087774
7.0,8,1.087808
4.0,5,1.087818
5.0,6,1.087824
10.0,11,1.093069
2.0,3,1.093112
2.0,3,1.098519
2.0,3,1.10259
2.0,3,1.102618
3.0,4,1.106428
8.0,9,1.110818
5.0,6,1.114677
4.0,5,1.122375
3.0,4,1.122411
6.0,7,1.130562
2.0,3,1.134557
10.0,11,1.138283
7.0,8,1.142306
7.0,8,1.146621
4.0,5,1.150186
6.0,7,1.150205
3.0,4,1.150212
14.0,15,1.158073
16.0,17,1.161687
5.0,6,1.165518
6.0,7,1.165537
3.0,4,1.165544
4.0,5,1.170222
3.0,4,1.177789
3.0,4,1.181541
4.0,5,1.18582
4.0,5,1.189554
5.0,6,1.189574
9.0,10,1.18958
8.0,9,1.1938
2.0,3,1.197504
3.0,4,1.197525
4.0,5,1.197531
2.0,3,1.206864
4.0,5,1.211371
4.0,5,1.211399
4.0,5,1.219994
7.0,8,1.225041
2.0,3,1.225079
6.0,7,1.229113
6.0,7,1.229146
2.0,3,1.238515
3.0,4,1.247614
23.0,24,1.247663
4.0,5,1.252183
7.0,8,1.257054
6.0,7,1.257082
2.0,3,1.269738
5.0,6,1.273957
16.0,17,1.283842
7.0,8,1.283899
6.0,7,1.283908
7.0,8,1.292984
2.0,3,1.298362
18.0,19,1.298394
3.0,4,1.302924
13.0,14,1.302955
7.0,8,1.311235
5.0,6,1.311266
9.0,10,1.315015
3.0,4,1.315033
2.0,3,1.31504
4.0,5,1.323044
3.0,4,1.330595
3.0,4,1.330628
8.0,9,1.330638
8.0,9,1.33514
2.0,3,1.342453
9.0,10,1.350243
4.0,5,1.35027
3.0,4,1.350277
10.0,11,1.354641
8.0,9,1.358306
2.0,3,1.362538
7.0,8,1.362562
3.0,4,1.36624
2.0,3,1.370321
4.0,5,1.370342
4.0,5,1.374553
2.0,3,1.374574
2.0,3,1.378307
15.0,16,1.378328
2.0,3,1.386549
2.0,3,1.390248
3.0,4,1.390266
5.0,6,1.394556
7.0,8,1.401912
4.0,5,1.410637
7.0,8,1.41068
4.0,5,1.415647
3.0,4,1.42023
2.0,3,1.424541
8.0,9,1.424577
15.0,16,1.429715
3.0,4,1.442798
24.0,25,1.44751
6.0,7,1.447548
5.0,6,1.447555
14.0,15,1.456705
5.0,6,1.469731
2.0,3,1.469777
5.0,6,1.475936
7.0,8,1.485051
7.0,8,1.485114
5.0,6,1.503186
15.0,16,1.50323
4.0,5,1.503237
6.0,7,1.517943
2.0,3,1.526643
22.0,23,1.531366
3.0,4,1.535338
5.0,6,1.539101
7.0,8,1.546551
11.0,12,1.552397
5.0,6,1.559854
16.0,17,1.571226
29.0,30,1.575094
8.0,9,1.583414
3.0,4,1.58735
14.0,15,1.587375
15.0,16,1.594928
14.0,15,1.599392
5.0,6,1.599411
4.0,5,1.618464
5.0,6,1.622769
17.0,18,1.622795
9.0,10,1.6277
11.0,12,1.644505
5.0,6,1.648851
22.0,23,1.654177
16.0,17,1.658563
6.0,7,1.658591
4.0,5,1.667668
10.0,11,1.667738
4.0,5,1.691489
6.0,7,1.69152
4.0,5,1.691527
25.0,26,1.696289
10.0,11,1.700436
2.0,3,1.705091
17.0,18,1.705127
3.0,4,1.71024
11.0,12,1.714523
14.0,15,1.724124
4.0,5,1.728137
8.0,9,1.732497
5.0,6,1.736229
7.0,8,1.739978
3.0,4,1.743776
5.0,6,1.748241
11.0,12,1.752091
4.0,5,1.752113
13.0,14,1.756227
4.0,5,1.756246
2.0,3,1.768402
6.0,7,1.768434
12.0,13,1.76844
3.0,4,1.768446
10.0,11,1.787764
12.0,13,1.799294
8.0,9,1.803256
4.0,5,1.807394
10.0,11,1.811162
11.0,12,1.814929
19.0,20,1.834396
5.0,6,1.834432
6.0,7,1.834439
18.0,19,1.843891
24.0,25,1.852947
13.0,14,1.861942
10.0,11,1.893403
13.0,14,1.897866
9.0,10,1.897899
14.0,15,1.903472
9.0,10,1.907268
15.0,16,1.907299
2.0,3,1.916075
3.0,4,1.916105
4.0,5,1.916112
4.0,5,1.921697
12.0,13,1.963031
10.0,11,1.96307
39.0,40,1.971426
14.0,15,1.971466
5.0,6,1.986422
16.0,17,1.991241
5.0,6,1.994983
11.0,12,2.017939
15.0,16,2.025367
30.0,31,2.040493
54.0,55,2.044904
14.0,15,2.044941
16.0,17,2.057688
10.0,11,2.062846
37.0,38,2.07202
12.0,13,2.080507
14.0,15,2.110892
16.0,17,2.116127
4.0,5,2.138342
34.0,35,2.143375
7.0,8,2.147915
20.0,21,2.152708
18.0,19,2.156553
24.0,25,2.156577
2.0,3,2.16824
25.0,26,2.176603
8.0,9,2.17664
4.0,5,2.196579
10.0,11,2.201338
12.0,13,2.205976
29.0,30,2.209852
4.0,5,2.225891
26.0,27,2.253044
29.0,30,2.269045
25.0,26,2.273448
19.0,20,2.27793
23.0,24,2.309154
37.0,38,2.336244
16.0,17,2.349964
22.0,23,2.354855
10.0,11,2.384867
42.0,43,2.408211
31.0,32,2.443877
40.0,41,2.44391
62.0,63,2.46282
26.0,27,2.462859
5.0,6,2.467496
30.0,31,2.504085
39.0,40,2.507895
14.0,15,2.523994
63.0,64,2.541663
35.0,36,2.58985
10.0,11,2.589894
38.0,39,2.626927
63.0,64,2.669566
41.0,42,2.699841
29.0,30,2.711397
30.0,31,2.71607
52.0,53,2.723487
56.0,57,2.742027
73.0,74,2.760562
13.0,14,2.775698
26.0,27,2.820743
38.0,39,2.82078
35.0,36,2.843789
67.0,68,2.901782
58.0,59,2.950562
45.0,46,3.006612
65.0,66,3.040064
70.0,71,3.044745
38.0,39,3.048534
81.0,82,3.069889
64.0,65,3.083028
66.0,67,3.113074
20.0,21,3.131474
57.0,58,3.185629
44.0,45,3.193002
38.0,39,3.213315
49.0,50,3.332402
62.0,63,3.342525
74.0,75,3.383385
64.0,65,3.383427
81.0,82,3.388663
75.0,76,3.492806
29.0,30,3.500508
76.0,77,3.523638
89.0,90,3.553533
63.0,64,3.633892
72.0,73,3.679452
89.0,90,3.700771
56.0,57,3.723459
48.0,49,3.753938
21.0,22,3.765134
124.0,125,3.840248
93.0,94,3.869947
120.0,121,4.012201
66.0,67,4.023714
104.0,105,4.115359
68.0,69,4.120055
27.0,28,4.131194
91.0,92,4.131228
68.0,69,4.150614
108.0,109,4.154323
130.0,131,4.158022
78.0,79,4.322628
66.0,67,4.427247
72.0,73,4.442644
83.0,84,4.454218
74.0,75,4.454249
81.0,82,4.458604
88.0,89,4.48487
128.0,129,4.636172
81.0,82,4.655488
